country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Afghanistan,318k,298k,,,88.3k,,304k,203k,288k,,,364k,627k,586k,262k,246k,272k
Angola,244k,1.14M,783k,723k,667k,157k,,893k,1.17M,1.47M,1.64M,1.25M,1.86M,3.25M,2.49M,2.33M,2.28M
Argentina,1660,803,643,758,948,1070,2050,592,339,222,440,215,125,122,115,259,209
Armenia,0,0,0,0,196,502,347,841,1160,616,141,79,52,29,47,7,0
Azerbaijan,24,113,27,23,667,2840,13.1k,9910,5180,2320,1530,1060,506,482,386,242,143
Burundi,92.9k,569k,774k,828k,832k,933k,974k,671k,687k,1.94M,3.06M,3.37M,2.65M,2.26M,1.75M,2.36M,2.16M
Benin,92.9k,119k,291k,403k,547k,579k,623k,671k,650k,709k,707k,717k,783k,819k,853k,804k,862k
Burkina Faso,497k,449k,420k,502k,472k,501k,583k,673k,722k,868k,1.03M,353k,1.19M,1.44M,1.55M,1.62M,2.06M
Bangladesh,53.9k,63.6k,116k,125k,167k,153k,101k,68.6k,60k,63.7k,60.4k,362k,307k,492k,216k,191k,362k
Belize,3030,3320,5340,8590,9960,9410,6610,4010,2610,1850,1490,1100,928,,1060,1580,828
Bolivia,19.7k,19k,24.5k,27.5k,34.8k,46.9k,64k,51.5k,73.9k,50k,31.5k,123k,138k,158k,163k,202k,209k
Brazil,560k,614k,610k,466k,564k,566k,455k,393k,472k,610k,611k,388k,348k,409k,465k,603k,549k
Bhutan,9500,22.1k,28.9k,28.1k,39.9k,23.2k,15.7k,9030,7690,12.2k,5940,10.2k,7210,4040,3030,1950,1990
Botswana,10.8k,14.4k,5000,55.3k,29.6k,17.6k,80k,102k,59.7k,72.6k,71.4k,48.2k,28.9k,237k,22.4k,11.2k,19k
Central African Republic,174k,125k,89.9k,82.1k,82.1k,101k,95.3k,99.7k,106k,128k,89.6k,123k,,78.1k,129k,132k,114k
China,117k,102k,74k,59k,62k,47.1k,33.4k,26.8k,27.1k,26.8k,18.6k,26.9k,172k,170k,146k,100k,116k
Cote d'Ivoire,512k,467k,554k,421k,,756k,1.11M,983k,,,1.49M,1.19M,1.11M,1.14M,1.27M,1.28M,1.25M
Cameroon,869k,788k,664k,479k,189k,784k,931k,788k,664k,,,,,,,277k,635k
"Congo, Dem. Rep.",,,,,,,198k,,141k,1.51M,965k,2.2M,,4.39M,,,5.01M
"Congo, Rep.",32.4k,32.4k,21.1k,15.5k,36k,28k,14k,9490,17.1k,,,,,,,,158k
Colombia,99.5k,184k,184k,129k,127k,187k,136k,181k,186k,66.8k,108k,206k,196k,165k,117k,118k,120k
Comoros,,,,12k,13.9k,15.7k,15.5k,,3840,9790,,3720,,,43.9k,29.6k,54.8k
Cape Verde,69,80,38,44,21,127,77,20,41,29,,15,2,6,4,7,7
Costa Rica,1150,3270,6950,5030,4450,4520,5480,4710,5150,4000,1880,1360,1020,718,1290,3540,2900
Djibouti,3240,7340,7470,4170,6140,5980,6110,4310,5920,6140,4670,4310,5020,5040,2140,2590,7710
Dominican Republic,356,377,698,987,1670,1810,1410,816,2010,3590,1220,1040,1300,1300,2360,3840,3530
Algeria,152,229,106,84,206,107,221,197,,701,541,435,307,,,,
Ecuador,71.7k,59.4k,41.1k,46.9k,30k,18.1k,11.9k,16.4k,43.7k,87.6k,98.6k,109k,86.8k,52.1k,28.7k,17.1k,9860
Egypt,75,24,16,17,527,322,25,11,13,61,17,11,10,45,43,23,29
Eritrea,,,,,,81.2k,130k,,255k,147k,119k,126k,74.9k,65.5k,27.8k,24.2k,10.2k
Ethiopia,,,206k,306k,359k,413k,478k,510k,605k,648k,383k,2.26M,2.52M,3.14M,5.71M,3.36M,3.76M
Gabon,57.5k,80.3k,101k,70.9k,82.2k,54.9k,74.3k,57.5k,80.3k,,,97k,,,,100k,118k
Georgia,1,2,1,0,1,1,7,1,16,51,245,439,472,315,256,155,60
Ghana,1.44M,1.37M,1.45M,1.7M,1.67M,1.93M,2.19M,2.23M,1.75M,2.9M,3.35M,3.04M,3.14M,3.55M,3.42M,3.45M,3.51M
Guinea,21.8k,17.7k,,,608k,600k,773k,802k,818k,808k,,852k,850k,732k,877k,850k,835k
Gambia,223k,215k,188k,,300k,136k,266k,326k,,128k,,,,,,162k,266k
Guinea-Bissau,81.8k,64.1k,56.1k,159k,,197k,6460,10.6k,2110,198k,246k,246k,202k,195k,162k,186k,149k
Equatorial Guinea,25.6k,22.6k,25.1k,17.9k,14.8k,12.5k,,,,,,,,,,,
Guatemala,41.7k,57.8k,57.6k,41.9k,22.1k,24.2k,20.3k,32.1k,47.7k,45.1k,53.3k,35.8k,35.5k,31.1k,28.9k,39.6k,31.1k
French Guiana,5910,3570,4070,3970,4240,4710,4720,3200,3460,5310,3710,3820,3660,3700,3040,3410,4070
Guyana,22.7k,42.2k,39.7k,33.2k,39.6k,59.3k,,32.1k,41.2k,27.3k,24k,27.1k,21.9k,27.6k,28.9k,39k,21k
Honduras,53.1k,73.3k,70.8k,44.5k,52.1k,59.5k,74.5k,65.9k,43k,46.7k,35.1k,24.1k,17.2k,14.1k,17.3k,16k,11.6k
Haiti,4810,25.5k,13.5k,853,23.1k,,18.9k,,34.5k,1200,16.9k,9840,,9840,10.8k,21.8k,32.7k
Indonesia,172k,132k,103k,136k,146k,123k,180k,161k,160k,,101k,1.4M,1.49M,1.48M,1.5M,1.79M,1.33M
India,2.02M,2.12M,2.13M,2.21M,2.51M,2.99M,3.04M,2.66M,2.22M,2.29M,2.03M,2.08M,1.84M,1.87M,1.92M,1.82M,1.78M
Iran,77.5k,96.3k,77k,64.6k,51.1k,67.5k,56.4k,38.7k,33k,23.1k,19.7k,19.3k,15.6k,23.6k,13.8k,19k,15.9k
Iraq,3920,1760,5750,49.9k,98.2k,98.7k,49.8k,14k,9680,4140,1860,1270,952,347,155,47,24
Jamaica,,,,,,,,,,,,,,,,,382
Kenya,,,,,6.1M,4.34M,3.78M,,80.7k,123k,74.2k,3.26M,3.32M,5.09M,7.55M,9.18M,7.96M
Kyrgyz Republic,1,1,2,0,6,3,26,13,11,5,12,28,2740,468,93,226,320
Cambodia,124k,103k,91k,99.2k,85k,76.9k,74.9k,88k,58.9k,64.7k,62.4k,110k,100k,120k,91.9k,67k,89.1k
South Korea,0,0,0,1,20,107,396,1720,3990,3620,4140,2560,1800,1170,864,1370,2050
Lao,22k,41k,38.5k,41.8k,52.6k,52k,77.9k,72.2k,39k,28.1k,40k,104k,85.2k,88.7k,53.8k,30.4k,20.5k
Liberia,,,,,,,240k,826k,778k,,,,,,,117k,1.1M
Sri Lanka,287k,400k,399k,327k,273k,142k,184k,219k,212k,,210k,66.5k,41.4k,10.5k,3720,1640,591
Morocco,837,494,405,198,206,197,102,125,121,60,59,59,107,73,56,100,83
Madagascar,,,,,,196k,,,,1.14M,,1.36M,1.6M,2.2M,1.46M,1.23M,1.01M
Mexico,44.5k,26.6k,16.2k,15.8k,12.9k,7330,6290,4810,25k,13.4k,7360,4900,4620,3820,3410,2970,
Mali,249k,282k,281k,296k,263k,95.4k,29.8k,385k,12.2k,530k,547k,613k,723k,809k,1.97M,963k,1.02M
Myanmar,989k,939k,790k,702k,701k,657k,665k,568k,548k,121k,,574k,722k,717k,603k,506k,475k
Mozambique,,,,,,,12.8k,,194k,2.34M,3.28M,3.95M,4.59M,4.86M,5.61M,5.9M,6.34M
Mauritania,26.9k,42.1k,45.7k,43.9k,156k,215k,181k,190k,168k,254k,259k,244k,225k,318k,225k,224k,188k
Mauritius,54,48,66,54,65,46,82,65,52,73,62,61,,,,,
Malawi,3.87M,,,4.69M,4.74M,,6.18M,2.76M,2.99M,4.19M,3.77M,3.82M,2.78M,3.36M,2.87M,3.69M,4.2M
Malaysia,50.5k,39.2k,36.9k,39.9k,59k,59.2k,51.9k,26.6k,13.5k,11.1k,12.7k,12.8k,11k,6340,6150,5570,5290
Namibia,,,,381k,402k,275k,345k,391k,353k,430k,519k,539k,446k,468k,611k,339k,266k
Niger,1.16M,809k,866k,727k,806k,778k,1.16M,979k,873k,816k,647k,1.34M,888k,682k,761k,818k,887k
Nigeria,1.12M,910k,1.22M,982k,1.18M,1.13M,1.15M,1.15M,2.12M,1.97M,2.48M,2.25M,2.6M,2.61M,3.31M,3.53M,3.98M
